회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
한국4호스팩,240540,금융지원 서비스업,기업인수합병,2016-06-22,12월,박진수,,서울특별시
미래에셋제5호스팩,239340,금융지원 서비스업,기업인수합병,2016-06-09,12월,김남기,,서울특별시
휴온스,243070,의약품 제조업,"전문의약품, 일반의약품",2016-06-03,12월,윤성태,http://www.huons.com,경기도
원익IPS,240810,특수 목적용 기계 제조업,반도체 제조용 기계,2016-05-02,12월,변정우,http://.www.ips.co.kr,경기도
레이언스,228850,의료용 기기 제조업,"TFT Detector, CMOS Detector, I/O Sensor",2016-04-11,12월,현정훈,http://www.rayence.com,경기도
씨엠에스에듀,225330,일반 교습 학원,융합사고력 프로그램,2016-04-07,12월,이충국,http://www.cmsedu.co.kr,서울특별시
동양파일,228340,"시멘트, 석회, 플라스터 및 그 제품 제조업",PHC파일,2016-04-06,12월,"김시년, 한웅걸(각자 대표이사)",http://www.tongyangphc.com,충청남도
팬젠,222110,의약품 제조업,"바이오시밀러 의약품 개발, 바이오의약품 개발 기술이전 서비스 등",2016-03-11,12월,"김영부, 윤재승",http://www.pangen.com,경기도
AP위성,211270,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시
하이에이아이1호스팩,235010,금융지원 서비스업,기업 인수 및 합병,2016-03-04,12월,최종혁,,서울특별시
솔트웍스,230980,소프트웨어 개발 및 공급업,기업인수 및 합병,2016-03-02,12월,김기호,,서울특별시
케이비제9호스팩,232270,금융지원 서비스업,기업인수,2016-02-29,12월,최웅,,서울특별시
큐리언트,115180,자연과학 및 공학 연구개발업,저분자 혁신신약,2016-02-29,12월,남기연,http://www.qurient.com,경기도
안트로젠,065660,기초 의약물질 및 생물학적 제제 제조업,줄기세포치료제,2016-02-15,12월,이성구,http://www.anterogen.com,서울특별시
슈프리마,236200,통신 및 방송 장비 제조업,바이오인식 관련 제품,2016-02-05,12월,송봉섭,,경기도
아이엠텍,226350,전자부품 제조업,휴대폰용 안테나 및 카메라모듈,2016-02-03,12월,박길수,http://www.im-tech.com,경기도
유니트론텍,142210,기계장비 및 관련 물품 도매업,"메모리, 비메모리반도체",2016-02-02,12월,남궁선,http://www.unitrontech.com,서울특별시
크리스탈신소재,900250,"회사본부, 지주회사 및 경영컨설팅 서비스업","합성운모 플레이크, 파우더, 테이프",2016-01-28,12월,다이자룽,http://www.crystalnewmaterial.com,케이맨 제도
한솔씨앤피,221610,기타 화학제품 제조업,모바일 코팅제(도료),2016-01-27,12월,김화주,http://www.hansolcnp.com,경기도
에스와이패널,109610,"구조용 금속제품, 탱크 및 증기발생기 제조업",샌드위치 패널,2015-12-29,12월,홍영돈,http://www.sypanel.com,경기도
코디엠,224060,특수 목적용 기계 제조업,"반도체 및 평판디스플레이 제조용 장비(IRIS, LOZIX, HP/CP)",2015-12-29,12월,문용배,http://www.kodi-m.com,충청남도
대신밸런스제2호스팩,232140,금융지원 서비스업,기업 인수 및 합병,2015-12-24,12월,성효국,,서울특별시
육일씨엔에쓰,191410,전자부품 제조업,스마트폰용 Cover Glass,2015-12-24,12월,구자옥,http:// www.61cns.co.kr,서울특별시
이에스브이,223310,소프트웨어 개발 및 공급업,"블랙박스, 내비게이션, 로봇청소기, 드론",2015-12-24,12월,"이종수, 오세준(각자 대표이사)",http://www.esv.co.kr,경기도
휴젤,145020,기초 의약물질 및 생물학적 제제 제조업,"보툴리눔톡신, 필러",2015-12-24,12월,문경엽,http://www.hugel.co.kr,강원도
한국맥널티,222980,기타 식품 제조업,커피 및 의약품,2015-12-23,12월,이은정,http://www.mcnultykorea.co.kr,충청남도
