No.,Code,Name,Industry Code,Industry,No. of Listed Shares(shr.),Capital Stock(KRW),ParValue,Currency
638,017390,SEOUL CTY GAS,043502,"Manufacture of Gas, Distribution of Gaseous Fuel Through Mains","5,000,000","35,000,000,000","5,000",KRW
639,004410,SEOUL FOOD IND,031007,Manufacture of Other Food Products,"13,496,400","33,963,450,000","2,500",KRW
640,021050,SEOWON,032403,Cast of Metals,"47,474,590","23,737,295,000",500,KRW
641,007860,SEOYON,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","23,479,844","11,739,922,000",500,KRW
642,200880,SEOYONEHWA,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"27,028,437","13,514,218,500",500,KRW
643,091090,SEWON CELLONTECH,032501,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators","60,593,178","30,296,589,000",500,KRW
644,021820,SEWON PRECSN IND,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"10,000,000","5,000,000,000",500,KRW
645,013000,SEWOO GLOBAL,074607,Other Specialized Wholesale,"23,690,705","11,845,352,500",500,KRW
646,031440,SF,095601,"Restaurants, Bars and Canteens","3,872,480","19,362,400,000","5,000",KRW
647,001380,SG CHOONGBANG,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"41,747,470","20,873,735,000",500,KRW
648,004060,SG CORPORATION,074608,Wholesale of Non-Specialized Goods,"202,424,960","101,212,480,000",500,KRW
649,004490,SGBC,032802,Manufacture of Primary Cells and Batteries and Accumulators,"14,000,000","7,000,000,000",500,KRW
650,002360,SH ENERCHEM,032001,Manufacture of Basic Chemicals,"111,133,730","55,566,865,000",500,KRW
651,016590,SHINDAEYANG PAPR,031702,"Manufacture of Corrugated Cardboard, Paper Boxes and Paper Containers","3,869,237","19,346,185,000","5,000",KRW
652,005450,SHINHAN ENG &amp; CONST,064101,Building Construction,"7,022,839","35,114,195,000","5,000",KRW
653,055550,SHINHAN FINANCIAL GR,116409,Other Financial Intermediation,"474,199,587","2,370,997,935,000","5,000",KRW
654,004080,SHINHUNG,074605,Wholesale of Machinery Equipment and Supplies,"9,600,000","6,733,070,000",500,KRW
655,001770,SHINHWA SILUP,032401,Manufacture of Basic Iron and Steel,"1,214,878","6,074,390,000","5,000",KRW
656,002700,SHINIL IND,074605,Wholesale of Machinery Equipment and Supplies,"71,047,521","35,523,760,500",500,KRW
657,002870,SHINPOONG PAPR MFG,031701,"Manufacture of Pulp, Paper and Paperboard","3,495,870","17,479,350,000","5,000",KRW
658,019170,SHINPOONG PHARM,032102,Manufacture of Medicaments,"52,984,990","27,592,495,000",500,KRW
659,004170,SHINSEGAE,074701,Retail Sale in Non-Specialized Stores,"9,845,181","49,225,905,000","5,000",KRW
660,035510,SHINSEGAE I&amp;C,106301,"Data Processing, Hosting, Portals and Other Internet Information Media Service Activities","1,720,000","8,600,000,000","5,000",KRW
661,031430,SHINSEGAE INTERNATIONAL,074704,"Retail Sale of Textiles, Clothing, Footwear and Leather Goods","7,140,000","35,700,000,000","5,000",KRW
662,011930,SHINSUNG SE,032601,Manufacture of Semiconductor,"172,993,713","86,606,856,500",500,KRW
663,005390,SHINSUNG TONGSANG,074607,Other Specialized Wholesale,"143,708,390","71,854,195,000",500,KRW
664,009270,SHINWON,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","63,303,370","31,697,055,000",500,KRW
665,001720,SHINYOUNG SECU,116601,Activities Auxiliary to Financial Service Activities,"9,386,237","82,200,000,000","5,000",KRW
666,005800,SHINYOUNG WACOAL,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","900,000","4,500,000,000","5,000",KRW
667,004970,SILLA,010301,Fishing and Gathering of Marine Materials,"16,000,000","8,000,000,000",500,KRW
668,009160,SIMPAC,032902,Manufacture of Special-Purpose Machinery,"29,084,925","14,542,462,500",500,KRW
669,029530,SINDOH,032603,Manufacture of Computers and Peripheral Equipment,"10,080,029","50,400,145,000","5,000",KRW
670,006880,SINGSONGHOLDINGS,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","11,828,858","5,914,429,000",500,KRW
